scheme, band, l, c0, c1, c2, c3, c4, c5, c6, c7, c8
D, f146, dwarf, -1.2600e+02, 5.3515e+01, -8.0814e+00, 5.4552e-01, -1.3656e-02, 0.0, 0.0, 0.0, 0.0
D, f146, none, -2.0314e+02, 8.5706e+01, -1.3083e+01, 8.8640e-01, -2.2259e-02, 0.0, 0.0, 0.0, 0.0
D, f158, giant, -2.9657e+02, 1.1953e+02, -1.7569e+01, 1.1428e+00, -2.7573e-02, 0.0, 0.0, 0.0, 0.0
D, f158, dwarf, -1.4463e+02, 6.1330e+01, -9.2881e+00, 6.2725e-01, -1.5708e-02, 0.0, 0.0, 0.0, 0.0
D, f158, none, -2.2980e+02, 9.6946e+01, -1.4836e+01, 1.0063e+00, -2.5296e-02, 0.0, 0.0, 0.0, 0.0
D, f184, giant, -3.2593e+02, 1.3134e+02, -1.9321e+01, 1.2567e+00, -3.0321e-02, 0.0, 0.0, 0.0, 0.0
D, f184, dwarf, -1.5736e+02, 6.6721e+01, -1.0118e+01, 6.8334e-01, -1.7113e-02, 0.0, 0.0, 0.0, 0.0
D, f184, none, -2.5239e+02, 1.0645e+02, -1.6306e+01, 1.1060e+00, -2.7800e-02, 0.0, 0.0, 0.0, 0.0
D, f213, giant, -3.4190e+02, 1.3781e+02, -2.0276e+01, 1.3186e+00, -3.1811e-02, 0.0, 0.0, 0.0, 0.0
D, f213, dwarf, -1.6244e+02, 6.8927e+01, -1.0456e+01, 7.0597e-01, -1.7676e-02, 0.0, 0.0, 0.0, 0.0
D, f213, none, -2.6488e+02, 1.1168e+02, -1.7098e+01, 1.1587e+00, -2.9102e-02, 0.0, 0.0, 0.0, 0.0
D, prism, giant, -2.2682e+02, 9.1629e+01, -1.3434e+01, 8.7375e-01, -2.1082e-02, 0.0, 0.0, 0.0, 0.0
D, prism, dwarf, -1.1092e+02, 4.7195e+01, -7.1072e+00, 4.7967e-01, -1.2005e-02, 0.0, 0.0, 0.0, 0.0
D, prism, none, -1.7644e+02, 7.4545e+01, -1.1358e+01, 7.6950e-01, -1.9322e-02, 0.0, 0.0, 0.0, 0.0
D, grism, giant, -2.6596e+02, 1.0727e+02, -1.5751e+01, 1.0244e+00, -2.4716e-02, 0.0, 0.0, 0.0, 0.0
D, grism, dwarf, -1.2837e+02, 5.4506e+01, -8.2346e+00, 5.5591e-01, -1.3917e-02, 0.0, 0.0, 0.0, 0.0
D, grism, none, -2.0648e+02, 8.7107e+01, -1.3301e+01, 9.0133e-01, -2.2637e-02, 0.0, 0.0, 0.0, 0.0
D, prism_b8, giant, -1.4087e+02, 5.7266e+01, -8.3431e+00, 5.4282e-01, -1.3102e-02, 0.0, 0.0, 0.0, 0.0
D, prism_b8, dwarf, -7.7405e+01, 3.3184e+01, -4.9495e+00, 3.3390e-01, -8.3538e-03, 0.0, 0.0, 0.0, 0.0
D, prism_b8, none, -1.0963e+02, 4.6714e+01, -7.0686e+00, 4.7945e-01, -1.2053e-02, 0.0, 0.0, 0.0, 0.0
D, prism_r8, giant, -2.5024e+02, 1.0096e+02, -1.4814e+01, 9.6340e-01, -2.3243e-02, 0.0, 0.0, 0.0, 0.0
D, prism_r8, dwarf, -1.2042e+02, 5.1171e+01, -7.7215e+00, 5.2127e-01, -1.3050e-02, 0.0, 0.0, 0.0, 0.0
D, prism_r8, none, -1.9422e+02, 8.1948e+01, -1.2500e+01, 8.4682e-01, -2.1263e-02, 0.0, 0.0, 0.0, 0.0
D, grism_b8, giant, -1.9498e+02, 7.8876e+01, -1.1543e+01, 7.5077e-01, -1.8116e-02, 0.0, 0.0, 0.0, 0.0
D, grism_b8, dwarf, -9.7800e+01, 4.1694e+01, -6.2593e+00, 4.2233e-01, -1.0568e-02, 0.0, 0.0, 0.0, 0.0
D, grism_b8, none, -1.5191e+02, 6.4296e+01, -9.7755e+00, 6.6230e-01, -1.6632e-02, 0.0, 0.0, 0.0, 0.0
D, grism_r8, giant, -3.2737e+02, 1.3191e+02, -1.9405e+01, 1.2621e+00, -3.0450e-02, 0.0, 0.0, 0.0, 0.0
D, grism_r8, dwarf, -1.5611e+02, 6.6198e+01, -1.0038e+01, 6.7786e-01, -1.6975e-02, 0.0, 0.0, 0.0, 0.0
D, grism_r8, none, -2.5397e+02, 1.0708e+02, -1.6398e+01, 1.1119e+00, -2.7942e-02, 0.0, 0.0, 0.0, 0.0
